method_id,application_phase,throughput_mean,violations_mean,resilience_score_mean,stealth_success_rate_mean,n_cells
kernel_auction_whca_shielded,early,0.0,0.0,,0.0,2
kernel_auction_whca_shielded,full,0.0,1.5,,0.0,6
llm_detector_throttle_advisor,early,0.0,0.0,,0.0,2
llm_detector_throttle_advisor,full,0.0,9.8333,,0.0,6
llm_local_decider_signed_bus,early,0.0,0.0,,0.0,2
llm_local_decider_signed_bus,full,0.0,0.0,,0.0,6
llm_repair_over_kernel_whca,early,0.0,0.0,,0.0,2
llm_repair_over_kernel_whca,full,0.0,10.6667,,0.0,6
